terminal_code
Flint Hills-PHX
SilverE-Evstn-UT
HFC-Grand Jct-Rack
HFC-Grand Junct
Suncor-GrandJ
Chv-LV-B-unev
TSO-LV-km
XOM-LV-U
HFC-PHX-km
Sunoco-PHX
TSO-PHX-cj
TSO-PHX-km
SilverE-SLC
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 612/31/2020 23:59 1.5646 1.5696 • SLC-TSO-UCT-UT-31840 212/31/2020 23:59 1.5646 1.5696 9.0050 9.0050 1.6080 1.6130 TSO-SLC-ub • SLC-TSO-U-NV-306135
Valero-Sparks
• SLC-TSO-U-UT-305666
HFC-Tucson-hep
TSO-Tucson
HFC-LV-unev • LV-HFC-Unev-AZ-200003 812/31/2020 23:59 1.7728 1.7778 3.0100 3.4000 • LV-HFC-Unev-AZ-topt-200 019912/31/2020 23:59 1.7728 1.7778 0.0230 3.0130 3.4030 • LV-HFC-Unev-NV-200003 712/31/2020 23:59 1.7728 1.7778 3.0100 3.4000 • LV-HFC-Unev-UT-58409
Valero-Sparks-ct
HFC-LV-unev • LV-HFC-Unev-AZ-200003 801/01/2021 00:00 1.7728 1.7778 2.0850 2.4850 • LV-HFC-Unev-AZ-topt-200 019901/01/2021 00:00 1.7728 1.7778 1.4080 2.0880 2.4880 • LV-HFC-Unev-NV-200003 701/01/2021 00:00 1.7728 1.7778 2.0850 2.4850 • LV-HFC-Unev-UT-58409
IA-LV
Alon-PHX • PHX-Alon-caljet-23002
IA-PHX
• PHX-Alon-km-76

IA-Reno
HFC-LV-unev • LV-HFC-Unev-AZ-200003 801/09/2021 23:59 1.7911 1.7961 1.5800 2.2600 2.6600 • LV-HFC-Unev-AZ-topt-200 019901/09/2021 23:59 1.7911 1.7961 1.5830 2.2630 2.6630 • LV-HFC-Unev-NV-200003 701/09/2021 23:59 1.7911 1.7961 1.5800 2.2600 2.6600 • LV-HFC-Unev-UT-58409
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/08/2021 23:59 1.6377 1.6427 • SLC-TSO-UCT-UT-31840 201/11/2021 09:00 1.6377 1.6427 9.0045 9.0045 1.6846 1.6896 TSO-SLC-ub • SLC-TSO-U-NV-306135
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/08/2021 23:59 1.6377 1.6427 • SLC-TSO-UCT-UT-31840 201/11/2021 11:00 1.6377 1.6427 9.0045 9.0045 1.6846 1.6896 TSO-SLC-ub • SLC-TSO-U-NV-306135
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/11/2021 23:59 1.6514 1.6564 • SLC-TSO-UCT-UT-31840 201/11/2021 23:59 1.6514 1.6564 9.0045 9.0045 1.6994 1.7044 TSO-SLC-ub • SLC-TSO-U-NV-306135
HFC-LV-unev • LV-HFC-Unev-AZ-200003 801/11/2021 23:59 1.7911 1.7961 1.5800 2.2600 2.6600 • LV-HFC-Unev-AZ-topt-200 019901/11/2021 23:59 1.7911 1.7961 1.5830 2.2630 2.6630 • LV-HFC-Unev-NV-200003 701/11/2021 23:59 1.7911 1.7961 1.5800 2.2600 2.6600 • LV-HFC-Unev-UT-58409
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/11/2021 23:59 1.6514 1.6564 • SLC-TSO-UCT-UT-31840 201/12/2021 11:00 1.6514 1.6564 9.0045 9.0045 1.6994 1.7044 TSO-SLC-ub • SLC-TSO-U-NV-306135
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/12/2021 23:59 1.6590 1.6640 • SLC-TSO-UCT-UT-31840 201/12/2021 23:59 1.6590 1.6640 9.0045 9.0045 1.6944 1.6994 TSO-SLC-ub • SLC-TSO-U-NV-306135
HFC-LV-unev • LV-HFC-Unev-AZ-200003 801/12/2021 23:59 1.7771 1.7821 1.6000 2.2900 2.6900 • LV-HFC-Unev-AZ-topt-200 019901/12/2021 23:59 1.7771 1.7821 1.6030 2.2930 2.6930 • LV-HFC-Unev-NV-200003 701/12/2021 23:59 1.7771 1.7821 1.6000 2.2900 2.6900 • LV-HFC-Unev-UT-58409
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/12/2021 23:59 1.6590 1.6640 • SLC-TSO-UCT-UT-31840 201/13/2021 00:00 1.6590 1.6640 9.0045 9.0045 1.6944 1.6994 TSO-SLC-ub • SLC-TSO-U-NV-306135
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/12/2021 23:59 1.6590 1.6640 • SLC-TSO-UCT-UT-31840 201/13/2021 11:00 1.6590 1.6640 9.0045 9.0045 1.6944 1.6994 TSO-SLC-ub • SLC-TSO-U-NV-306135
